review_id,date,product_id,brand,rating,review_text
R0000,2024-08-01,P193,Nimbus,3,"shipping was delayed and packaging arrived damaged. Also, I care about screen."
R0001,2024-08-04,P161,Nimbus,1,"the UI lags and touch response is inconsistent. Also, I care about battery."
R0002,2024-08-07,P167,Nimbus,4,"the camera quality is superb and the UI feels snappy. Also, I care about battery."
R0003,2024-08-10,P188,Aurora,4,"the camera quality is superb and the UI feels snappy. Also, I care about UI."
R0004,2024-08-13,P157,Nimbus,4,"battery life is excellent and the screen is bright. Also, I care about camera."
R0005,2024-08-16,P176,Aurora,2,"shipping was delayed and packaging arrived damaged. Also, I care about shipping."
R0006,2024-08-19,P182,Nimbus,1,"battery drains fast and the device overheats. Also, I care about UI."
R0007,2024-08-22,P122,Aurora,5,"customer support was helpful and delivery was quick. Also, I care about build."
R0008,2024-08-25,P105,Quasar,1,"battery drains fast and the device overheats. Also, I care about camera."
R0009,2024-08-28,P129,Aurora,5,"battery life is excellent and the screen is bright. Also, I care about support."
R0010,2024-08-31,P128,Nimbus,5,"customer support was helpful and delivery was quick. Also, I care about battery."
R0011,2024-09-03,P186,Aurora,3,"the UI lags and touch response is inconsistent. Also, I care about battery."
R0012,2024-09-06,P190,Quasar,5,"the camera quality is superb and the UI feels snappy. Also, I care about battery."
R0013,2024-09-09,P100,Nimbus,2,"shipping was delayed and packaging arrived damaged. Also, I care about shipping."
R0014,2024-09-12,P149,Aurora,2,"camera is grainy in low light and the app crashes. Also, I care about shipping."
R0015,2024-09-15,P181,Quasar,1,"camera is grainy in low light and the app crashes. Also, I care about battery."
R0016,2024-09-18,P113,Quasar,2,"shipping was delayed and packaging arrived damaged. Also, I care about packaging."
R0017,2024-09-21,P178,Quasar,4,"battery life is excellent and the screen is bright. Also, I care about screen."
R0018,2024-09-24,P111,Nimbus,1,"shipping was delayed and packaging arrived damaged. Also, I care about battery."
R0019,2024-09-27,P146,Aurora,3,"battery drains fast and the device overheats. Also, I care about camera."
R0020,2024-09-30,P180,Aurora,4,"customer support was helpful and delivery was quick. Also, I care about camera."
R0021,2024-10-03,P130,Quasar,5,"customer support was helpful and delivery was quick. Also, I care about battery."
R0022,2024-10-06,P133,Nimbus,1,"the UI lags and touch response is inconsistent. Also, I care about battery."
R0023,2024-10-09,P127,Aurora,1,"shipping was delayed and packaging arrived damaged. Also, I care about battery."
R0024,2024-10-12,P171,Quasar,5,"customer support was helpful and delivery was quick. Also, I care about camera."
R0025,2024-10-15,P125,Nimbus,5,"battery life is excellent and the screen is bright. Also, I care about UI."
R0026,2024-10-18,P198,Nimbus,5,"battery life is excellent and the screen is bright. Also, I care about camera."
R0027,2024-10-21,P144,Aurora,1,"camera is grainy in low light and the app crashes. Also, I care about support."
R0028,2024-10-24,P147,Nimbus,2,"shipping was delayed and packaging arrived damaged. Also, I care about camera."
R0029,2024-10-27,P149,Aurora,5,"great value for money and build quality feels premium. Also, I care about support."
R0030,2024-10-30,P157,Aurora,5,"the camera quality is superb and the UI feels snappy. Also, I care about support."
R0031,2024-11-02,P154,Quasar,1,"camera is grainy in low light and the app crashes. Also, I care about battery."
R0032,2024-11-05,P150,Nimbus,2,"camera is grainy in low light and the app crashes. Also, I care about build."
R0033,2024-11-08,P198,Nimbus,3,"shipping was delayed and packaging arrived damaged. Also, I care about support."
R0034,2024-11-11,P179,Aurora,4,"the camera quality is superb and the UI feels snappy. Also, I care about support."
R0035,2024-11-14,P178,Quasar,2,"shipping was delayed and packaging arrived damaged. Also, I care about screen."
